"sch.year","district.name","composite.mean.score"
"2013","Paintsville Independent",20.2
"2013","Paris Independent",18.5
"2013","Pendleton County",18.5
"2013","Perry County",17.4
"2013","Pike County",17.7
"2013","Pikeville Independent",21.1
"2013","Pineville Independent",17.5
"2013","Powell County",18.2
"2013","Pulaski County",19.3
"2013","Raceland-Worthington Independent",19.9
"2013","Robertson County",16.3
"2013","Rockcastle County",18.5
"2013","Rowan County",19.2
"2013","Russell County",18.2
"2013","Russell Independent",20.3
"2013","Russellville Independent",18.2
"2013","Scott County",20.4
"2013","Shelby County",18.8
"2013","Silver Grove Independent",17.1
"2013","Simpson County",19.5
"2013","Somerset Independent",19.8
"2013","Spencer County",19.2
"2013","Taylor County",19
"2013","Todd County",18.8
"2013","Trigg County",18.6
"2013","Trimble County",19.7
"2013","Union County",17.7
"2013","Walton-Verona Independent",21.6
"2013","Warren County",20.1
"2013","Washington County",18.3
"2013","Wayne County",18
"2013","Webster County",17.7
"2013","Whitley County",19.1
"2013","Williamsburg Independent",17.8
"2013","Williamstown Independent",20.8
"2013","Wolfe County",18.4
"2013","Woodford County",21.5
