PROV,Medicaid Days,SSI Days,Insured Low Income Days,Factor 3,Total Uncompensated Care Payment Amount,Claims Average,Estimated Per Claim Amount,Projected to Receive DSH for FY 2015
050380,12384,1786,14170,0.000387940,"$2,966,824",4361,$680.26,YES
050382,50551,9337,59888,0.001639585,"$12,538,967",5264,"$2,381.87",YES
050385,370,183,553,0.000015140,"$115,784",611,$189.60,YES
050390,8444,3273,11717,0.000320782,"$2,453,231",3387,$724.24,YES
050393,11387,4303,15690,0.000429553,"$3,285,072",2794,"$1,175.90",YES
050394,8247,833,9080,0.000248588,"$1,901,112",3070,$619.32,YES
050396,15199,1705,16904,0.000462790,"$3,539,252",5487,$645.06,YES
050397,120,71,191,0.000005229,N/A,124,$321.64,SCH
050407,688,3038,3726,0.000102009,"$780,126",689,"$1,132.81",YES
050411,1982,655,2637,0.000072195,N/A,N/A,N/A,NO
050414,2863,473,3336,0.000091331,"$698,470",1738,$401.96,YES
050417,1138,211,1349,0.000036932,N/A,960,$294.21,SCH
050423,1256,261,1517,0.000041532,N/A,353,$898.92,SCH
050424,1105,731,1836,0.000050265,N/A,N/A,N/A,NO
050425,448,999,1447,0.000039615,N/A,N/A,N/A,NO
050426,4045,3574,7619,0.000208589,"$1,595,218",2298,$694.08,YES
050434,1165,80,1245,0.000034085,N/A,325,$802.06,SCH
050435,1372,84,1456,0.000039862,N/A,738,$413.07,SCH
050438,19362,7332,26694,0.000730816,"$5,589,019",7551,$740.20,YES
050441,20228,5813,26041,0.000712938,"$5,452,298",8143,$669.57,YES
050444,17275,3178,20453,0.000559953,"$4,282,319",3827,"$1,118.88",YES
050448,846,214,1060,0.000029020,N/A,N/A,N/A,NO
050454,54114,8879,62993,0.001724593,"$13,189,072",7085,"$1,861.46",YES
050455,17749,4827,22576,0.000618075,"$4,726,819",3914,"$1,207.67",YES
050457,2346,2901,5247,0.000143650,"$1,098,583",2299,$477.85,YES
050464,45945,4053,49998,0.001368822,"$10,468,262",3890,"$2,691.07",YES
050468,16745,2406,19151,0.000524307,"$4,009,714",1663,"$2,411.62",YES
050471,25059,9231,34290,0.000938775,"$7,179,421",3998,"$1,795.75",YES
050481,5117,3163,8280,0.000226686,"$1,733,614",3219,$538.56,YES
050485,22488,6398,28886,0.000790827,"$6,047,966",6059,$998.23,YES
050488,12437,3346,15783,0.000432100,"$3,304,544",4201,$786.61,YES
050492,12069,1015,13084,0.000358208,"$2,739,444",1766,"$1,551.51",YES
050496,5435,2334,7769,0.000212696,"$1,626,624",3830,$424.71,YES
050498,1631,399,2030,0.000055576,"$425,028",1774,$239.59,YES
050502,6057,11903,17960,0.000491700,"$3,760,350",4126,$911.45,YES
050503,3142,452,3594,0.000098395,N/A,N/A,N/A,NO
050506,7850,386,8236,0.000225481,"$1,724,401",1573,"$1,096.02",YES
050510,369,308,677,0.000018535,N/A,N/A,N/A,NO
050512,2658,745,3403,0.000093166,N/A,N/A,N/A,NO
050515,4587,1303,5890,0.000161254,N/A,N/A,N/A,NO
050516,35275,3814,39089,0.001070160,"$8,184,205",6184,"$1,323.45",YES
050517,9588,1117,10705,0.000293076,"$2,241,345",813,"$2,758.01",YES
050523,9570,1590,11160,0.000305533,"$2,336,610",2676,$873.06,YES
050526,1564,1550,3114,0.000085254,"$651,989",1279,$509.63,YES
050528,2677,106,2783,0.000076192,N/A,317,"$1,840.06",SCH
050531,15972,1802,17774,0.000486608,"$3,721,407",709,"$5,251.28",YES
050534,14309,2250,16559,0.000453344,"$3,467,018",1699,"$2,040.22",YES
050537,3358,259,3617,0.000099025,"$757,304",644,"$1,176.55",YES
050541,358,402,760,0.000020807,N/A,N/A,N/A,NO
050543,30271,1495,31766,0.000869675,"$6,650,962",256,"$25,946.54",YES
050545,0,0,0,0.000000000,$0,42,$0.00,YES
050546,0,44,44,0.000001205,"$9,212",74,$123.93,YES
050547,0,31,31,0.000000849,"$6,491",89,$72.66,YES
050548,0,4,4,0.000000110,$837,63,$13.22,YES
050549,6246,1803,8049,0.000220362,N/A,N/A,N/A,NO
050551,4379,1096,5475,0.000149892,"$1,146,321",2766,$414.38,YES
050552,0,0,0,,N/A,N/A,N/A,NO
050557,20299,4712,25011,0.000684739,"$5,236,643",5778,$906.25,YES
050561,1803,984,2787,0.000076301,N/A,N/A,N/A,NO
050567,9837,2010,11847,0.000324342,"$2,480,449",5542,$447.57,YES
050568,9505,1984,11489,0.000314540,"$2,405,493",1265,"$1,902.08",YES
050570,33515,15001,48516,0.001328248,"$10,157,970",4038,"$2,515.80",YES
050573,5184,2662,7846,0.000214804,N/A,N/A,N/A,NO
050575,3395,1904,5299,0.000145074,"$1,109,471",1405,$789.85,YES
050580,2983,2112,5095,0.000139489,"$1,066,759",1456,$732.83,YES
050581,7410,3068,10478,0.000286862,"$2,193,817",2271,$965.87,YES
050586,4408,1526,5934,0.000162458,"$1,242,423",1613,$770.10,YES
050588,1618,901,2519,0.000068964,"$527,412",1147,$459.82,YES
050589,1153,524,1677,0.000045912,N/A,N/A,N/A,NO
050590,18151,2505,20656,0.000565510,"$4,324,821",2286,"$1,891.87",YES
050597,4795,1202,5997,0.000164183,"$1,255,614",1187,"$1,057.51",YES
050599,62210,8134,70344,0.001925845,"$14,728,177",7421,"$1,984.75",YES
050603,3600,1577,5177,0.000141733,N/A,N/A,N/A,NO
050604,1445,910,2355,0.000064474,N/A,N/A,N/A,NO
050608,6508,1332,7840,0.000214640,"$1,641,489",775,"$2,118.05",YES
050609,2713,1088,3801,0.000104062,N/A,N/A,N/A,NO
050616,0,306,306,0.000008378,"$64,068",1782,$35.95,YES
050618,53,12,65,0.000001780,N/A,73,$185.58,SCH
050624,6522,2101,8623,0.000236076,"$1,805,429",2774,$650.92,YES
050625,34230,23672,57902,0.001585214,"$12,123,151",17797,$681.19,YES
050633,3555,517,4072,0.000111481,"$852,569",2381,$358.07,YES
050636,3585,777,4362,0.000119421,"$913,288",1833,$498.34,YES
050641,12732,1893,14625,0.000400396,"$3,062,089",690,"$4,437.81",YES
050644,14815,3553,18368,0.000502870,"$3,845,775",1031,"$3,730.14",YES
050660,0,0,0,,N/A,N/A,N/A,NO
050663,25094,4063,29157,0.000798247,"$6,104,706",2632,"$2,319.12",YES
050668,205,68,273,0.000007474,"$57,159",74,$775.91,YES
050674,4661,1350,6011,0.000164566,N/A,N/A,N/A,NO
050677,769,745,1514,0.000041450,N/A,N/A,N/A,NO
050678,8202,3528,11730,0.000321138,"$2,455,952",2223,"$1,104.63",YES
050684,1085,761,1846,0.000050539,"$386,504",1102,$350.62,YES
050686,144,546,690,0.000018890,N/A,N/A,N/A,NO
050688,2853,547,3400,0.000093084,"$711,870",1192,$597.04,YES
050689,646,371,1017,0.000027843,N/A,N/A,N/A,NO
050690,1686,613,2299,0.000062941,N/A,N/A,N/A,NO
050696,12999,5459,18458,0.000505334,"$3,864,618",3528,"$1,095.52",YES
050697,2,4,6,0.000000164,N/A,N/A,N/A,NO
050698,0,0,0,,N/A,N/A,N/A,NO
050701,16454,2186,18640,0.000510317,"$3,902,724",3076,"$1,268.63",YES
050704,17934,4891,22825,0.000624892,"$4,778,953",2867,"$1,666.69",YES
050708,0,99,99,0.000002710,N/A,N/A,N/A,NO
050709,8773,1617,10390,0.000284453,"$2,175,392",2331,$933.38,YES
050710,3,244,247,0.000006762,N/A,N/A,N/A,NO
050714,1393,36,1429,0.000039122,"$299,195",142,"$2,102.07",YES
050717,16309,562,16871,0.000461886,"$3,532,342",182,"$19,372.99",YES
050723,1221,792,2013,0.000055111,N/A,N/A,N/A,NO
050724,1487,1345,2832,0.000077533,"$592,946",2317,$255.91,YES
050726,0,61,61,0.000001670,N/A,N/A,N/A,NO
050727,2028,764,2792,0.000076438,"$584,571",897,$651.94,YES
050732,24,533,557,0.000015249,N/A,N/A,N/A,NO
050735,11757,2170,13927,0.000381287,"$2,915,946",1356,"$2,149.87",YES
050736,10981,1638,12619,0.000345477,"$2,642,086",775,"$3,407.68",YES
050737,21158,14181,35339,0.000967494,"$7,399,054",2951,"$2,507.59",YES
050738,8428,1993,10421,0.000285301,"$2,181,882",589,"$3,706.48",YES
050739,24842,8742,33584,0.000919447,"$7,031,603",6611,"$1,063.62",YES
050740,639,734,1373,0.000037589,N/A,N/A,N/A,NO
050742,3132,5579,8711,0.000238486,"$1,823,854",3398,$536.69,YES
050744,10459,561,11020,0.000301700,"$2,307,297",338,"$6,833.06",YES
050745,951,485,1436,0.000039314,"$300,661",378,$795.40,YES
050746,17019,1868,18887,0.000517079,"$3,954,439",927,"$4,264.31",YES
050747,10102,1262,11364,0.000311118,"$2,379,322",450,"$5,287.38",YES
050748,136,164,300,0.000008213,N/A,N/A,N/A,NO
050749,0,12,12,0.000000329,N/A,N/A,N/A,NO
050751,0,11,11,0.000000301,"$2,303",25,$90.91,YES
050754,0,0,0,,N/A,N/A,N/A,NO
050755,2195,2156,4351,0.000119120,"$910,985",1840,$495.19,YES
050757,5200,2661,7861,0.000215215,"$1,645,886",3081,$534.15,YES
050758,8586,825,9411,0.000257650,"$1,970,415",818,"$2,409.80",YES
050760,1446,373,1819,0.000049800,N/A,N/A,N/A,NO
050761,11735,6582,18317,0.000501474,"$3,835,096",5698,$673.10,YES
050763,32087,6971,39058,0.001069311,"$8,177,715",2016,"$4,057.08",YES
050764,6373,2121,8494,0.000232545,"$1,778,419",4236,$419.83,YES
050765,727,514,1241,0.000033976,N/A,N/A,N/A,NO
050766,35,57,92,0.000002519,N/A,N/A,N/A,NO
050767,970,183,1153,0.000031566,N/A,N/A,N/A,NO
050769,7,154,161,0.000004408,N/A,N/A,N/A,NO
050770,2003,706,2709,0.000074166,N/A,N/A,N/A,NO
050771,5925,1450,7375,0.000201909,"$1,544,130",706,"$2,188.19",YES
050772,5146,242,5388,0.000147510,N/A,N/A,N/A,NO
050773,855,5,860,0.000023545,"$180,061",461,$391.01,YES
050774,,,,,N/A,N/A,N/A,NO
060001,12284,1555,13839,0.000378878,"$2,897,521",4780,$606.13,YES
060003,4934,496,5430,0.000148660,"$1,136,899",2522,$450.73,YES
060004,3411,170,3581,0.000098039,"$749,767",791,$947.87,YES
060006,1835,196,2031,0.000055604,N/A,1186,$358.65,SCH
060008,2200,291,2491,0.000068197,"$521,550",617,$845.76,YES
060009,12683,1397,14080,0.000385476,"$2,947,980",3793,$777.15,YES
060010,8592,782,9374,0.000256637,"$1,962,668",4849,$404.79,YES
060011,43732,4058,47790,0.001308372,"$10,005,965",1642,"$6,095.00",YES
060012,5967,1181,7148,0.000195695,"$1,496,603",2436,$614.37,YES
060013,2997,165,3162,0.000086568,N/A,1522,$434.88,SCH
060014,30272,686,30958,0.000847554,"$6,481,788",2073,"$3,126.77",YES
060015,7171,1006,8177,0.000223866,"$1,712,048",3078,$556.28,YES
060016,1141,181,1322,0.000036193,N/A,783,$353.35,SCH
060020,13296,2946,16242,0.000444666,"$3,400,646",4465,$761.62,YES
060022,30236,1811,32047,0.000877368,"$6,709,796",6588,"$1,018.44",YES
060023,13299,1003,14302,0.000391553,N/A,4374,$684.60,SCH
060024,33421,3031,36452,0.000997966,"$7,632,087",6138,"$1,243.48",YES
060027,3394,316,3710,0.000101571,N/A,N/A,N/A,NO
060028,13464,877,14341,0.000392621,"$3,002,627",966,"$3,108.31",YES
060030,2942,226,3168,0.000086732,"$663,296",1821,$364.18,YES
060031,13370,1313,14683,0.000401984,"$3,074,233",6785,$453.09,YES
060032,11182,987,12169,0.000333157,"$2,547,868",3003,$848.44,YES
060034,12532,1257,13789,0.000377509,"$2,887,053",4983,$579.34,YES
060036,1196,258,1454,0.000039807,"$304,429",808,$376.61,YES
060043,7,7,14,0.000000383,N/A,N/A,N/A,NO
060044,1129,87,1216,0.000033291,N/A,477,$533.38,SCH
060049,656,38,694,0.000019000,N/A,N/A,N/A,NO
060054,350,180,530,0.000014510,N/A,N/A,N/A,NO
060064,2896,1136,4032,0.000110386,N/A,N/A,N/A,NO
060065,7887,759,8646,0.000236706,"$1,810,244",1273,"$1,422.03",YES
060071,1031,208,1239,0.000033921,N/A,N/A,N/A,NO
060075,4427,70,4497,0.000123117,N/A,730,"$1,289.80",SCH
060076,693,88,781,0.000021382,N/A,N/A,N/A,NO
060096,1166,14,1180,0.000032305,N/A,336,$736.03,SCH
060100,12323,1271,13594,0.000372170,"$2,846,225",3919,$726.26,YES
060103,6220,67,6287,0.000172123,"$1,316,332",620,"$2,123.12",YES
060104,5434,756,6190,0.000169467,"$1,296,023",1781,$727.69,YES
060107,77,4,81,0.000002218,"$16,959",4,"$3,913.68",YES
060112,3664,234,3898,0.000106718,N/A,N/A,N/A,NO
060113,4066,300,4366,0.000119530,N/A,N/A,N/A,NO
060114,3814,218,4032,0.000110386,N/A,N/A,N/A,NO
060116,1918,340,2258,0.000061818,N/A,N/A,N/A,NO
060117,46,16,62,0.000001697,N/A,N/A,N/A,NO
060118,677,24,701,0.000019192,"$146,771",173,$850.02,YES
060119,917,410,1327,0.000036330,N/A,N/A,N/A,NO
060124,0,38,38,0.000001040,N/A,N/A,N/A,NO
060125,,,,,N/A,N/A,N/A,NO
070001,17780,2328,20108,0.000550507,N/A,N/A,N/A,NO
070002,33054,4099,37153,0.001017157,"$7,778,858",10208,$762.04,YES
070003,3402,359,3761,0.000102967,"$787,454",1621,$485.78,YES
070004,1192,125,1317,0.000036056,N/A,1203,$229.28,SCH
070005,10300,1278,11578,0.000316977,"$2,424,128",4341,$558.38,YES
070006,12559,1523,14082,0.000385530,"$2,948,399",3767,$782.76,YES
070007,12505,1354,13859,0.000379425,"$2,901,709",5464,$531.03,YES
070008,2737,248,2985,0.000081722,"$624,980",1158,$539.86,YES
070010,28488,2331,30819,0.000843748,"$6,452,685",4368,"$1,477.38",YES
070011,3093,303,3396,0.000092974,"$711,033",2922,$243.34,YES
070012,1270,174,1444,0.000039533,N/A,N/A,N/A,NO
070015,900,60,960,0.000026282,N/A,N/A,N/A,NO
070016,11139,1475,12614,0.000345340,"$2,641,039",4276,$617.64,YES
070017,7828,890,8718,0.000238677,"$1,825,319",3783,$482.51,YES
070018,3297,464,3761,0.000102967,N/A,N/A,N/A,NO
070019,1252,152,1404,0.000038438,N/A,N/A,N/A,NO
070020,7526,682,8208,0.000224715,"$1,718,539",5806,$295.99,YES
070021,3392,482,3874,0.000106061,"$811,113",1919,$422.68,YES
070022,108225,8729,116954,0.003201911,"$24,487,082",15879,"$1,542.14",YES
070024,8027,1063,9090,0.000248862,"$1,903,206",4385,$434.06,YES
070025,40297,5152,45449,0.001244281,"$9,515,821",12543,$758.66,YES
070027,5417,603,6020,0.000164813,"$1,260,429",2630,$479.25,YES
070028,16890,2734,19624,0.000537257,"$4,108,748",6023,$682.18,YES
070029,4086,391,4477,0.000122569,"$937,366",2514,$372.86,YES
070031,4282,407,4689,0.000128373,"$981,753",2247,$436.92,YES
070033,13290,1261,14551,0.000398370,"$3,046,595",7533,$404.43,YES
070034,11187,1116,12303,0.000336826,"$2,575,924",4659,$552.93,YES
070035,16217,1853,18070,0.000494712,"$3,783,381",6400,$591.15,YES
070036,9964,879,10843,0.000296855,"$2,270,238",2800,$810.70,YES
070038,2248,0,2248,0.000061545,"$470,672",4,"$108,616.59",YES
070039,0,4,4,0.000000110,N/A,N/A,N/A,NO
070040,19,30,49,0.000001341,N/A,N/A,N/A,NO
080001,54471,5471,59942,0.001641064,"$12,550,273",21326,$588.51,YES
080003,6914,1049,7963,0.000218007,"$1,667,242",2190,$761.30,YES
080004,16932,1932,18864,0.000516450,"$3,949,624",6092,$648.29,YES
080006,5488,468,5956,0.000163061,"$1,247,029",2547,$489.61,YES
080007,5368,578,5946,0.000162787,"$1,244,936",4946,$251.69,YES
080009,3937,792,4729,0.000129468,"$990,128",1586,$624.16,YES
090001,24212,2643,26855,0.000735224,"$5,622,728",4324,"$1,300.35",YES
090003,27695,3148,30843,0.000844405,"$6,457,710",2499,"$2,583.77",YES
090004,20769,2805,23574,0.000645398,"$4,935,774",4414,"$1,118.21",YES
090005,900,389,1289,0.000035290,N/A,N/A,N/A,NO
090006,23112,3192,26304,0.000720139,"$5,507,364",4104,"$1,341.84",YES
090008,11434,1446,12880,0.000352623,"$2,696,732",1340,"$2,012.99",YES
090011,62325,8472,70797,0.001938247,"$14,823,024",14318,"$1,035.25",YES
100001,74116,8295,82411,0.002256209,"$17,254,689",6053,"$2,850.60",YES
100002,31746,1981,33727,0.000923362,"$7,061,544",6631,"$1,064.88",YES
100006,142275,11107,153382,0.004199220,"$32,114,144",13483,"$2,381.82",YES
100007,141222,24602,165824,0.004539851,"$34,719,170",37587,$923.71,YES
100008,47343,15311,62654,0.001715312,"$13,118,094",7196,"$1,823.05",YES
100009,22973,24709,47682,0.001305415,"$9,983,353",7356,"$1,357.17",YES
100012,47939,3190,51129,0.001399786,"$10,705,063",12485,$857.46,YES
100014,1466,391,1857,0.000050840,N/A,N/A,N/A,NO
100017,25997,2244,28241,0.000773169,"$5,912,920",6046,$977.99,YES
100018,24620,2056,26676,0.000730323,"$5,585,251",14403,$387.77,YES
100019,23879,3424,27303,0.000747489,"$5,716,528",10080,$567.10,YES
100022,198714,22544,221258,0.006057497,"$46,325,587",7237,"$6,401.51",YES
100023,3768,864,4632,0.000126813,N/A,N/A,N/A,NO
100025,47441,2980,50421,0.001380402,"$10,556,827",7207,"$1,464.80",YES
100026,12598,3729,16327,0.000446993,"$3,418,443",7604,$449.56,YES
100028,4481,846,5327,0.000145840,"$1,115,333",3011,$370.38,YES
100029,41211,15140,56351,0.001542751,"$11,798,412",6180,"$1,909.23",YES
100030,10939,2453,13392,0.000366640,"$2,803,931",3023,$927.43,YES
100032,26686,2744,29430,0.000805721,"$6,161,865",3583,"$1,719.59",YES
100034,33959,11631,45590,0.001248142,"$9,545,343",6054,"$1,576.61",YES
100035,22027,2570,24597,0.000673405,"$5,149,963",5263,$978.52,YES
100038,61923,6580,68503,0.001875443,"$14,342,721",5984,"$2,396.98",YES
100039,62923,4530,67453,0.001846696,"$14,122,878",3363,"$4,199.90",YES
100040,19925,5379,25304,0.000692761,"$5,297,990",11540,$459.11,YES
100043,2852,735,3587,0.000098203,"$751,023",2131,$352.37,YES
100044,8232,905,9137,0.000250148,N/A,N/A,N/A,NO
100045,6886,1251,8137,0.000222771,"$1,703,673",2760,$617.20,YES
100046,5683,1106,6789,0.000185866,"$1,421,437",3680,$386.30,YES
100047,2863,1051,3914,0.000107156,"$819,488",3473,$235.94,YES
100048,281,207,488,0.000013360,"$102,174",367,$278.66,YES
100049,3460,710,4170,0.000114164,"$873,088",2295,$380.49,YES
100050,2303,11122,13425,0.000367543,"$2,810,841",2726,"$1,031.25",YES
100051,4234,940,5174,0.000141651,"$1,083,299",2585,$419.02,YES
100052,16193,3669,19862,0.000543772,"$4,158,579",6202,$670.49,YES
100053,18493,13173,31666,0.000866937,"$6,630,025",2760,"$2,402.18",YES
100054,438,126,564,0.000015441,N/A,N/A,N/A,NO
100055,2092,441,2533,0.000069347,"$530,343",1628,$325.70,YES
100057,10661,1438,12099,0.000331241,"$2,533,211",6770,$374.18,YES
100061,3203,0,3203,0.000087690,N/A,N/A,N/A,NO
100062,18509,3353,21862,0.000598528,"$4,577,326",9841,$465.11,YES
100063,12223,2168,14391,0.000393990,"$3,013,096",2718,"$1,108.71",YES
100067,15561,4802,20363,0.000557489,"$4,263,475",5169,$824.82,YES
100068,9993,1096,11089,0.000303589,"$2,321,744",5074,$457.61,YES
100069,1841,1111,2952,0.000080818,"$618,071",1206,$512.35,YES
100070,2128,484,2612,0.000071510,N/A,N/A,N/A,NO
100071,13887,1344,15231,0.000416987,"$3,188,970",3558,$896.37,YES
100072,4369,1093,5462,0.000149536,"$1,143,599",3128,$365.64,YES
100073,7100,2067,9167,0.000250970,N/A,N/A,N/A,NO
100075,85097,11707,96804,0.002650254,"$20,268,203",9494,"$2,134.77",YES
100077,9514,1392,10906,0.000298579,"$2,283,429",4133,$552.44,YES
100079,1297,374,1671,0.000045748,N/A,N/A,N/A,NO
100080,23557,4363,27920,0.000764381,"$5,845,711",8940,$653.88,YES
100081,376,316,692,0.000018945,"$144,887",554,$261.69,YES
100084,13484,2192,15676,0.000429170,"$3,282,141",8135,$403.46,YES
100086,11637,2769,14406,0.000394401,"$3,016,236",2896,"$1,041.52",YES
100087,23784,1342,25126,0.000687888,"$5,260,721",10592,$496.65,YES
100088,43937,4857,48794,0.001335859,"$10,216,176",9435,"$1,082.80",YES
100090,7098,2361,9459,0.000258964,N/A,6267,$316.03,SCH
100092,10142,2073,12215,0.000334417,"$2,557,499",4542,$563.04,YES
100093,13810,2835,16645,0.000455699,"$3,485,024",5236,$665.59,YES
100099,2568,1323,3891,0.000106526,"$814,673",2224,$366.25,YES
100102,7448,1237,8685,0.000237774,"$1,818,410",1464,"$1,242.37",YES
100105,10131,1272,11403,0.000312186,"$2,387,487",7033,$339.49,YES
100106,634,152,786,0.000021519,"$164,568",437,$376.59,YES
100107,2120,785,2905,0.000079532,"$608,230",1422,$427.73,YES
100109,6685,1816,8501,0.000232736,"$1,779,885",5684,$313.14,YES
100110,19756,5627,25383,0.000694924,"$5,314,530",4947,"$1,074.22",YES
100113,84098,8544,92642,0.002536309,"$19,396,790",11078,"$1,750.98",YES
100117,3952,718,4670,0.000127853,N/A,N/A,N/A,NO
100118,1765,838,2603,0.000071264,N/A,N/A,N/A,NO
100121,2501,1018,3519,0.000096342,"$736,786",1442,$511.07,YES
100122,3584,1305,4889,0.000133849,"$1,023,628",3089,$331.34,YES
100124,3384,922,4306,0.000117888,"$901,563",1594,$565.72,YES
100125,17753,2659,20412,0.000558830,"$4,273,734",1634,"$2,615.50",YES
100126,893,401,1294,0.000035427,N/A,N/A,N/A,NO
100127,23319,2908,26227,0.000718030,"$5,491,242",7657,$717.15,YES
100128,87916,9838,97754,0.002676263,"$20,467,108",9719,"$2,105.81",YES
100130,3246,647,3893,0.000106581,"$815,091",494,"$1,648.87",YES
100131,12688,9308,21996,0.000602196,"$4,605,382",6782,$679.09,YES
100132,5323,1222,6545,0.000179186,"$1,370,350",1646,$832.37,YES
100134,1,2,3,0.000000082,N/A,N/A,N/A,NO
100135,32167,2941,35108,0.000961170,"$7,350,689",5626,"$1,306.48",YES
100137,10060,1907,11967,0.000327627,"$2,505,574",3532,$709.46,YES
100140,2015,202,2217,0.000060696,"$464,181",1044,$444.76,YES
100142,2439,932,3371,0.000092290,"$705,798",1408,$501.28,YES
100150,3165,598,3763,0.000103022,N/A,1385,$569.00,SCH
100151,1924,1147,3071,0.000084076,N/A,N/A,N/A,NO
100154,20864,3681,24545,0.000671981,"$5,139,075",2850,"$1,803.18",YES
100156,1267,1054,2321,0.000063543,N/A,N/A,N/A,NO
100157,37370,6201,43571,0.001192866,"$9,122,618",11485,$794.28,YES
100161,7945,2111,10056,0.000275308,"$2,105,461",3410,$617.44,YES
100166,742,323,1065,0.000029157,N/A,N/A,N/A,NO
100167,45891,16009,61900,0.001694669,"$12,960,227",4065,"$3,187.99",YES
100168,2775,465,3240,0.000088703,N/A,N/A,N/A,NO
100173,16324,4321,20645,0.000565209,"$4,322,518",5982,$722.59,YES
100175,2568,358,2926,0.000080107,"$612,627",878,$697.75,YES
100176,3685,1194,4879,0.000133575,N/A,N/A,N/A,NO
100177,3217,312,3529,0.000096615,N/A,N/A,N/A,NO
100179,19720,5967,25687,0.000703247,"$5,378,180",7060,$761.75,YES
100180,7697,1746,9443,0.000258526,"$1,977,115",2177,$908.04,YES
100181,5585,8066,13651,0.000373731,"$2,858,159",2623,"$1,089.79",YES
100183,3547,8868,12415,0.000339892,"$2,599,373",2055,"$1,264.70",YES
100187,29575,20777,50352,0.001378513,"$10,542,380",4551,"$2,316.50",YES
100189,9936,1692,11628,0.000318346,"$2,434,596",3275,$743.39,YES
100191,9314,1512,10826,0.000296389,"$2,266,679",4308,$526.20,YES
100200,3653,924,4577,0.000125307,"$958,303",1533,$624.98,YES
100204,14338,4360,18698,0.000511905,"$3,914,868",11556,$338.77,YES
100206,1535,1115,2650,0.000072550,"$554,840",1809,$306.77,YES
100209,22663,15057,37720,0.001032680,"$7,897,573",3385,"$2,333.34",YES
100211,2790,588,3378,0.000092481,"$707,264",1201,$588.90,YES
100212,7741,2569,10310,0.000282262,"$2,158,642",7412,$291.24,YES
100213,3120,1332,4452,0.000121885,N/A,N/A,N/A,NO
100217,1309,319,1628,0.000044571,N/A,N/A,N/A,NO
100220,15720,3146,18866,0.000516504,"$3,950,043",9603,$411.32,YES
100223,9216,1067,10283,0.000281523,"$2,152,989",4428,$486.22,YES
100224,2808,1582,4390,0.000120187,N/A,N/A,N/A,NO
100226,16549,2400,18949,0.000518777,"$3,967,421",6316,$628.12,YES
100228,3649,2474,6123,0.000167633,N/A,N/A,N/A,NO
100230,4648,1875,6523,0.000178584,"$1,365,744",1329,"$1,027.65",YES
100231,6511,1772,8283,0.000226768,"$1,734,242",5528,$313.72,YES
100232,4332,1546,5878,0.000160925,"$1,230,698",2803,$439.12,YES
100234,6575,926,7501,0.000205359,"$1,570,511",1109,"$1,415.73",YES
